,gene_stable_id,gene_type,gene_name,hgnc_name,hgnc_id,hgnc_id_exists,panther_id,tigrfam_id,wikigene_name,gene_description,pid_suffix
9379,ENSG00000126785,protein_coding,RHOJ,RHOJ,HGNC:688,True,PTHR24072,TIGR00231,RHOJ,ras homolog family member J [Source:HGNC Symbol;Acc:HGNC:688],PTHR24072
9406,ENSG00000140015,protein_coding,KCNH5,KCNH5,HGNC:6254,True,PTHR10217,TIGR00229,,potassium voltage-gated channel subfamily H member 5 [Source:HGNC Symbol;Acc:HGNC:6254],PTHR10217
9407,ENSG00000140015,protein_coding,KCNH5,KCNH5,HGNC:6254,True,PTHR10217:SF533,TIGR00229,,potassium voltage-gated channel subfamily H member 5 [Source:HGNC Symbol;Acc:HGNC:6254],SF533
9426,ENSG00000100031,protein_coding,GGT1,GGT1,HGNC:4250,True,PTHR11686:SF56,TIGR00066,GGT1,gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250],SF56
9427,ENSG00000100031,protein_coding,GGT1,GGT1,HGNC:4250,True,PTHR11686,TIGR00066,GGT1,gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250],PTHR11686
9543,ENSG00000166206,protein_coding,GABRB3,GABRB3,HGNC:4083,True,PTHR18945,TIGR00860,GABRB3,gamma-aminobutyric acid type A receptor subunit beta3 [Source:HGNC Symbol;Acc:HGNC:4083],PTHR18945
9544,ENSG00000166206,protein_coding,GABRB3,GABRB3,HGNC:4083,True,PTHR18945:SF571,TIGR00860,GABRB3,gamma-aminobutyric acid type A receptor subunit beta3 [Source:HGNC Symbol;Acc:HGNC:4083],SF571
9625,ENSG00000165898,protein_coding,ISCA2,ISCA2,HGNC:19857,True,PTHR43011:SF1,TIGR00049,ISCA2,iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857],SF1
9626,ENSG00000165898,protein_coding,ISCA2,ISCA2,HGNC:19857,True,PTHR43011,TIGR00049,ISCA2,iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857],PTHR43011
9636,ENSG00000171885,protein_coding,AQP4,AQP4,HGNC:637,True,PTHR19139,TIGR00861,AQP4,aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637],PTHR19139
9637,ENSG00000171885,protein_coding,AQP4,AQP4,HGNC:637,True,PTHR19139:SF34,TIGR00861,AQP4,aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637],SF34
9641,ENSG00000134146,protein_coding,DPH6,DPH6,HGNC:30543,True,PTHR12196,TIGR00290,DPH6,diphthamine biosynthesis 6 [Source:HGNC Symbol;Acc:HGNC:30543],PTHR12196
9702,ENSG00000175445,protein_coding,LPL,LPL,HGNC:6677,True,PTHR11610:SF3,TIGR03230,LPL,lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677],SF3
9703,ENSG00000175445,protein_coding,LPL,LPL,HGNC:6677,True,PTHR11610,TIGR03230,LPL,lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677],PTHR11610
9705,ENSG00000134440,protein_coding,NARS1,NARS1,HGNC:7643,True,PTHR22594:SF16,TIGR00457,NARS1,asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643],SF16
9706,ENSG00000134440,protein_coding,NARS1,NARS1,HGNC:7643,True,PTHR22594,TIGR00457,NARS1,asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643],PTHR22594
9735,ENSG00000124615,protein_coding,MOCS1,MOCS1,HGNC:7190,True,PTHR22960:SF26,TIGR02666,MOCS1,molybdenum cofactor synthesis 1 [Source:HGNC Symbol;Acc:HGNC:7190],SF26
9736,ENSG00000124615,protein_coding,MOCS1,MOCS1,HGNC:7190,True,PTHR22960,TIGR02666,MOCS1,molybdenum cofactor synthesis 1 [Source:HGNC Symbol;Acc:HGNC:7190],PTHR22960
9737,ENSG00000124615,protein_coding,MOCS1,MOCS1,HGNC:7190,True,PTHR22960,TIGR00581,MOCS1,molybdenum cofactor synthesis 1 [Source:HGNC Symbol;Acc:HGNC:7190],PTHR22960
9738,ENSG00000124615,protein_coding,MOCS1,MOCS1,HGNC:7190,True,PTHR22960:SF26,TIGR00581,MOCS1,molybdenum cofactor synthesis 1 [Source:HGNC Symbol;Acc:HGNC:7190],SF26
9743,ENSG00000081923,protein_coding,ATP8B1,ATP8B1,HGNC:3706,True,PTHR24092:SF48,TIGR01652,ATP8B1,ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706],SF48
9744,ENSG00000081923,protein_coding,ATP8B1,ATP8B1,HGNC:3706,True,PTHR24092,TIGR01652,ATP8B1,ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706],PTHR24092
9745,ENSG00000081923,protein_coding,ATP8B1,ATP8B1,HGNC:3706,True,PTHR24092:SF48,TIGR01494,ATP8B1,ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706],SF48
9746,ENSG00000081923,protein_coding,ATP8B1,ATP8B1,HGNC:3706,True,PTHR24092,TIGR01494,ATP8B1,ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706],PTHR24092
9751,ENSG00000141959,protein_coding,PFKL,PFKL,HGNC:8876,True,PTHR13697,TIGR02478,PFKL,"phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]",PTHR13697
9752,ENSG00000141959,protein_coding,PFKL,PFKL,HGNC:8876,True,PTHR13697:SF14,TIGR02478,PFKL,"phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]",SF14
9785,ENSG00000182256,protein_coding,GABRG3,GABRG3,HGNC:4088,True,PTHR18945,TIGR00860,GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3 [Source:HGNC Symbol;Acc:HGNC:4088],PTHR18945
9786,ENSG00000182256,protein_coding,GABRG3,GABRG3,HGNC:4088,True,PTHR18945:SF195,TIGR00860,GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3 [Source:HGNC Symbol;Acc:HGNC:4088],SF195
9814,ENSG00000036565,protein_coding,SLC18A1,SLC18A1,HGNC:10934,True,PTHR23506,TIGR00880,SLC18A1,solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934],PTHR23506
9815,ENSG00000036565,protein_coding,SLC18A1,SLC18A1,HGNC:10934,True,PTHR23506:SF31,TIGR00880,SLC18A1,solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934],SF31
9826,ENSG00000151846,protein_coding,PABPC3,PABPC3,HGNC:8556,True,PTHR24012:SF680,TIGR01628,PABPC3,poly(A) binding protein cytoplasmic 3 [Source:HGNC Symbol;Acc:HGNC:8556],SF680
9827,ENSG00000151846,protein_coding,PABPC3,PABPC3,HGNC:8556,True,PTHR24012,TIGR01628,PABPC3,poly(A) binding protein cytoplasmic 3 [Source:HGNC Symbol;Acc:HGNC:8556],PTHR24012
9855,ENSG00000132932,protein_coding,ATP8A2,ATP8A2,HGNC:13533,True,PTHR24092:SF179,TIGR01494,ATP8A2,ATPase phospholipid transporting 8A2 [Source:HGNC Symbol;Acc:HGNC:13533],SF179
9856,ENSG00000132932,protein_coding,ATP8A2,ATP8A2,HGNC:13533,True,PTHR24092,TIGR01494,ATP8A2,ATPase phospholipid transporting 8A2 [Source:HGNC Symbol;Acc:HGNC:13533],PTHR24092
9857,ENSG00000132932,protein_coding,ATP8A2,ATP8A2,HGNC:13533,True,PTHR24092:SF179,TIGR01652,ATP8A2,ATPase phospholipid transporting 8A2 [Source:HGNC Symbol;Acc:HGNC:13533],SF179
9858,ENSG00000132932,protein_coding,ATP8A2,ATP8A2,HGNC:13533,True,PTHR24092,TIGR01652,ATP8A2,ATPase phospholipid transporting 8A2 [Source:HGNC Symbol;Acc:HGNC:13533],PTHR24092
9913,ENSG00000051180,protein_coding,RAD51,RAD51,HGNC:9817,True,PTHR22942:SF39,TIGR02239,RAD51,RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817],SF39
9914,ENSG00000051180,protein_coding,RAD51,RAD51,HGNC:9817,True,PTHR22942,TIGR02239,RAD51,RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817],PTHR22942
9961,ENSG00000172476,protein_coding,RAB40A,RAB40A,HGNC:18283,True,PTHR47980,TIGR00231,RAB40A,"RAB40A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18283]",PTHR47980
9962,ENSG00000172476,protein_coding,RAB40A,RAB40A,HGNC:18283,True,PTHR47980:SF1,TIGR00231,RAB40A,"RAB40A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18283]",SF1
10005,ENSG00000125821,protein_coding,DTD1,DTD1,HGNC:16219,True,PTHR10472:SF6,TIGR00256,DTD1,D-aminoacyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219],SF6
10006,ENSG00000125821,protein_coding,DTD1,DTD1,HGNC:16219,True,PTHR10472,TIGR00256,DTD1,D-aminoacyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219],PTHR10472
10107,ENSG00000092964,protein_coding,DPYSL2,DPYSL2,HGNC:3014,True,PTHR11647:SF56,TIGR02033,DPYSL2,dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014],SF56
10108,ENSG00000092964,protein_coding,DPYSL2,DPYSL2,HGNC:3014,True,PTHR11647,TIGR02033,DPYSL2,dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014],PTHR11647
10162,ENSG00000171421,protein_coding,MRPL36,MRPL36,HGNC:14490,True,PTHR46909,TIGR01022,MRPL36,mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490],PTHR46909
10163,ENSG00000171421,protein_coding,MRPL36,MRPL36,HGNC:14490,True,PTHR46909:SF3,TIGR01022,MRPL36,mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490],SF3
10197,ENSG00000011677,protein_coding,GABRA3,GABRA3,HGNC:4077,True,PTHR18945,TIGR00860,,gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077],PTHR18945
10198,ENSG00000011677,protein_coding,GABRA3,GABRA3,HGNC:4077,True,PTHR18945:SF216,TIGR00860,,gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077],SF216
10240,ENSG00000009694,protein_coding,TENM1,TENM1,HGNC:8117,True,PTHR11219,TIGR01643,TENM1,teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117],PTHR11219
10241,ENSG00000009694,protein_coding,TENM1,TENM1,HGNC:8117,True,PTHR11219:SF7,TIGR01643,TENM1,teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117],SF7
10349,ENSG00000134899,protein_coding,ERCC5,ERCC5,HGNC:3437,True,PTHR16171,TIGR00600,ERCC5,"ERCC excision repair 5, endonuclease [Source:HGNC Symbol;Acc:HGNC:3437]",PTHR16171
10350,ENSG00000134899,protein_coding,ERCC5,ERCC5,HGNC:3437,True,PTHR16171:SF7,TIGR00600,ERCC5,"ERCC excision repair 5, endonuclease [Source:HGNC Symbol;Acc:HGNC:3437]",SF7
10384,ENSG00000125255,protein_coding,SLC10A2,SLC10A2,HGNC:10906,True,PTHR10361:SF19,TIGR00841,SLC10A2,solute carrier family 10 member 2 [Source:HGNC Symbol;Acc:HGNC:10906],SF19
10385,ENSG00000125255,protein_coding,SLC10A2,SLC10A2,HGNC:10906,True,PTHR10361,TIGR00841,SLC10A2,solute carrier family 10 member 2 [Source:HGNC Symbol;Acc:HGNC:10906],PTHR10361
10421,ENSG00000068650,protein_coding,ATP11A,ATP11A,HGNC:13552,True,PTHR24092,TIGR01494,ATP11A,ATPase phospholipid transporting 11A [Source:HGNC Symbol;Acc:HGNC:13552],PTHR24092
10422,ENSG00000068650,protein_coding,ATP11A,ATP11A,HGNC:13552,True,PTHR24092:SF33,TIGR01494,ATP11A,ATPase phospholipid transporting 11A [Source:HGNC Symbol;Acc:HGNC:13552],SF33
10423,ENSG00000068650,protein_coding,ATP11A,ATP11A,HGNC:13552,True,PTHR24092,TIGR01652,ATP11A,ATPase phospholipid transporting 11A [Source:HGNC Symbol;Acc:HGNC:13552],PTHR24092
10424,ENSG00000068650,protein_coding,ATP11A,ATP11A,HGNC:13552,True,PTHR24092:SF33,TIGR01652,ATP11A,ATPase phospholipid transporting 11A [Source:HGNC Symbol;Acc:HGNC:13552],SF33
10514,ENSG00000171791,protein_coding,BCL2,BCL2,HGNC:990,True,PTHR11256:SF11,TIGR00865,BCL2,BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990],SF11
10515,ENSG00000171791,protein_coding,BCL2,BCL2,HGNC:990,True,PTHR11256,TIGR00865,BCL2,BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990],PTHR11256
10518,ENSG00000101204,protein_coding,CHRNA4,CHRNA4,HGNC:1958,True,PTHR18945:SF401,TIGR00860,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit [Source:HGNC Symbol;Acc:HGNC:1958],SF401
10519,ENSG00000101204,protein_coding,CHRNA4,CHRNA4,HGNC:1958,True,PTHR18945,TIGR00860,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit [Source:HGNC Symbol;Acc:HGNC:1958],PTHR18945
10562,ENSG00000101210,protein_coding,EEF1A2,EEF1A2,HGNC:3192,True,PTHR23115,TIGR00483,EEF1A2,eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192],PTHR23115
10563,ENSG00000101210,protein_coding,EEF1A2,EEF1A2,HGNC:3192,True,PTHR23115:SF236,TIGR00483,EEF1A2,eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192],SF236
10631,ENSG00000160285,protein_coding,LSS,LSS,HGNC:6708,True,PTHR11764,TIGR01787,LSS,lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708],PTHR11764
10632,ENSG00000160285,protein_coding,LSS,LSS,HGNC:6708,True,PTHR11764:SF20,TIGR01787,LSS,lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708],SF20
10646,ENSG00000147416,protein_coding,ATP6V1B2,ATP6V1B2,HGNC:854,True,PTHR43389,TIGR01040,ATP6V1B2,ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854],PTHR43389
10647,ENSG00000147416,protein_coding,ATP6V1B2,ATP6V1B2,HGNC:854,True,PTHR43389:SF5,TIGR01040,ATP6V1B2,ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854],SF5
10721,ENSG00000160282,protein_coding,FTCD,FTCD,HGNC:3974,True,PTHR12234,TIGR02024,FTCD,formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974],PTHR12234
10722,ENSG00000160282,protein_coding,FTCD,FTCD,HGNC:3974,True,PTHR12234:SF0,TIGR02024,FTCD,formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974],SF0
10737,ENSG00000146085,protein_coding,MMUT,MMUT,HGNC:7526,True,PTHR48101:SF4,TIGR00640,MMUT,methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526],SF4
10738,ENSG00000146085,protein_coding,MMUT,MMUT,HGNC:7526,True,PTHR48101,TIGR00640,MMUT,methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526],PTHR48101
10739,ENSG00000146085,protein_coding,MMUT,MMUT,HGNC:7526,True,PTHR48101:SF4,TIGR00641,MMUT,methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526],SF4
10740,ENSG00000146085,protein_coding,MMUT,MMUT,HGNC:7526,True,PTHR48101,TIGR00641,MMUT,methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526],PTHR48101
10758,ENSG00000174405,protein_coding,LIG4,LIG4,HGNC:6601,True,PTHR45997:SF1,TIGR00574,LIG4,DNA ligase 4 [Source:HGNC Symbol;Acc:HGNC:6601],SF1
10759,ENSG00000174405,protein_coding,LIG4,LIG4,HGNC:6601,True,PTHR45997,TIGR00574,LIG4,DNA ligase 4 [Source:HGNC Symbol;Acc:HGNC:6601],PTHR45997
10781,ENSG00000159267,protein_coding,HLCS,HLCS,HGNC:4976,True,PTHR12835,TIGR00121,HLCS,holocarboxylase synthetase [Source:HGNC Symbol;Acc:HGNC:4976],PTHR12835
10782,ENSG00000159267,protein_coding,HLCS,HLCS,HGNC:4976,True,PTHR12835:SF9,TIGR00121,HLCS,holocarboxylase synthetase [Source:HGNC Symbol;Acc:HGNC:4976],SF9
10831,ENSG00000147471,protein_coding,PLPBP,PLPBP,HGNC:9457,True,PTHR10146:SF14,TIGR00044,PLPBP,pyridoxal phosphate binding protein [Source:HGNC Symbol;Acc:HGNC:9457],SF14
10832,ENSG00000147471,protein_coding,PLPBP,PLPBP,HGNC:9457,True,PTHR10146,TIGR00044,PLPBP,pyridoxal phosphate binding protein [Source:HGNC Symbol;Acc:HGNC:9457],PTHR10146
10850,ENSG00000137770,protein_coding,CTDSPL2,CTDSPL2,HGNC:26936,True,PTHR12210:SF126,TIGR02251,,CTD small phosphatase like 2 [Source:HGNC Symbol;Acc:HGNC:26936],SF126
10851,ENSG00000137770,protein_coding,CTDSPL2,CTDSPL2,HGNC:26936,True,PTHR12210,TIGR02251,,CTD small phosphatase like 2 [Source:HGNC Symbol;Acc:HGNC:26936],PTHR12210
10884,ENSG00000100416,protein_coding,TRMU,TRMU,HGNC:25481,True,PTHR11933,TIGR00420,TRMU,tRNA mitochondrial 2-thiouridylase [Source:HGNC Symbol;Acc:HGNC:25481],PTHR11933
10885,ENSG00000100416,protein_coding,TRMU,TRMU,HGNC:25481,True,PTHR11933:SF5,TIGR00420,TRMU,tRNA mitochondrial 2-thiouridylase [Source:HGNC Symbol;Acc:HGNC:25481],SF5
10940,ENSG00000171989,protein_coding,LDHAL6B,LDHAL6B,HGNC:21481,True,PTHR43128:SF8,TIGR01771,LDHAL6B,lactate dehydrogenase A like 6B [Source:HGNC Symbol;Acc:HGNC:21481],SF8
10941,ENSG00000171989,protein_coding,LDHAL6B,LDHAL6B,HGNC:21481,True,PTHR43128,TIGR01771,LDHAL6B,lactate dehydrogenase A like 6B [Source:HGNC Symbol;Acc:HGNC:21481],PTHR43128
11006,ENSG00000197818,protein_coding,SLC9A8,SLC9A8,HGNC:20728,True,PTHR10110:SF178,TIGR00840,SLC9A8,solute carrier family 9 member A8 [Source:HGNC Symbol;Acc:HGNC:20728],SF178
11007,ENSG00000197818,protein_coding,SLC9A8,SLC9A8,HGNC:20728,True,PTHR10110,TIGR00840,SLC9A8,solute carrier family 9 member A8 [Source:HGNC Symbol;Acc:HGNC:20728],PTHR10110
11065,ENSG00000155961,protein_coding,RAB39B,RAB39B,HGNC:16499,True,PTHR47979,TIGR00231,RAB39B,"RAB39B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16499]",PTHR47979
11066,ENSG00000155961,protein_coding,RAB39B,RAB39B,HGNC:16499,True,PTHR47979:SF69,TIGR00231,RAB39B,"RAB39B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16499]",SF69
11078,ENSG00000059804,protein_coding,SLC2A3,SLC2A3,HGNC:11007,True,PTHR23503,TIGR00879,SLC2A3,solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007],PTHR23503
11079,ENSG00000059804,protein_coding,SLC2A3,SLC2A3,HGNC:11007,True,PTHR23503:SF53,TIGR00879,SLC2A3,solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007],SF53
11237,ENSG00000148584,protein_coding,A1CF,A1CF,HGNC:24086,True,PTHR21245:SF8,TIGR01648,A1CF,APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086],SF8
11238,ENSG00000148584,protein_coding,A1CF,A1CF,HGNC:24086,True,PTHR21245,TIGR01648,A1CF,APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086],PTHR21245
11322,ENSG00000166532,protein_coding,RIMKLB,RIMKLB,HGNC:29228,True,PTHR21621,TIGR00768,RIMKLB,ribosomal modification protein rimK like family member B [Source:HGNC Symbol;Acc:HGNC:29228],PTHR21621
11323,ENSG00000166532,protein_coding,RIMKLB,RIMKLB,HGNC:29228,True,PTHR21621:SF5,TIGR00768,RIMKLB,ribosomal modification protein rimK like family member B [Source:HGNC Symbol;Acc:HGNC:29228],SF5
11371,ENSG00000125877,protein_coding,ITPA,ITPA,HGNC:6176,True,PTHR11067,TIGR00042,ITPA,inosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:6176],PTHR11067
11420,ENSG00000101898,protein_coding,MCTS2P,MCTS2P,HGNC:49760,True,PTHR22798,TIGR00451,,"MCTS family member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:49760]",PTHR22798
11421,ENSG00000101898,protein_coding,MCTS2P,MCTS2P,HGNC:49760,True,PTHR22798:SF11,TIGR00451,,"MCTS family member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:49760]",SF11
11460,ENSG00000100413,protein_coding,POLR3H,POLR3H,HGNC:30349,True,PTHR12709:SF1,TIGR00448,POLR3H,RNA polymerase III subunit H [Source:HGNC Symbol;Acc:HGNC:30349],SF1
11461,ENSG00000100413,protein_coding,POLR3H,POLR3H,HGNC:30349,True,PTHR12709,TIGR00448,POLR3H,RNA polymerase III subunit H [Source:HGNC Symbol;Acc:HGNC:30349],PTHR12709
11467,ENSG00000112759,protein_coding,SLC29A1,SLC29A1,HGNC:11003,True,PTHR10332,TIGR00939,SLC29A1,solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003],PTHR10332
11468,ENSG00000112759,protein_coding,SLC29A1,SLC29A1,HGNC:11003,True,PTHR10332:SF9,TIGR00939,SLC29A1,solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003],SF9
11474,ENSG00000100764,protein_coding,PSMC1,PSMC1,HGNC:9547,True,PTHR23073,TIGR01242,PSMC1,"proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]",PTHR23073
11475,ENSG00000100764,protein_coding,PSMC1,PSMC1,HGNC:9547,True,PTHR23073:SF77,TIGR01242,PSMC1,"proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]",SF77
11498,ENSG00000100417,protein_coding,PMM1,PMM1,HGNC:9114,True,PTHR10466:SF1,TIGR01484,PMM1,phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114],SF1
11499,ENSG00000100417,protein_coding,PMM1,PMM1,HGNC:9114,True,PTHR10466,TIGR01484,PMM1,phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114],PTHR10466
11522,ENSG00000155962,protein_coding,CLIC2,CLIC2,HGNC:2063,True,PTHR43920,TIGR00862,CLIC2,chloride intracellular channel 2 [Source:HGNC Symbol;Acc:HGNC:2063],PTHR43920
11523,ENSG00000155962,protein_coding,CLIC2,CLIC2,HGNC:2063,True,PTHR43920:SF4,TIGR00862,CLIC2,chloride intracellular channel 2 [Source:HGNC Symbol;Acc:HGNC:2063],SF4
11526,ENSG00000164294,protein_coding,GPX8,GPX8,HGNC:33100,True,PTHR11592,TIGR02540,GPX8,glutathione peroxidase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33100],PTHR11592
11527,ENSG00000164294,protein_coding,GPX8,GPX8,HGNC:33100,True,PTHR11592:SF7,TIGR02540,GPX8,glutathione peroxidase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33100],SF7
11541,ENSG00000185973,protein_coding,TMLHE,TMLHE,HGNC:18308,True,PTHR10696:SF3,TIGR02410,TMLHE,"trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]",SF3
11542,ENSG00000185973,protein_coding,TMLHE,TMLHE,HGNC:18308,True,PTHR10696,TIGR02410,TMLHE,"trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]",PTHR10696
11543,ENSG00000196419,protein_coding,XRCC6,XRCC6,HGNC:4055,True,PTHR12604:SF5,TIGR00578,XRCC6,X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055],SF5
11544,ENSG00000196419,protein_coding,XRCC6,XRCC6,HGNC:4055,True,PTHR12604,TIGR00578,XRCC6,X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055],PTHR12604
11552,ENSG00000171552,protein_coding,BCL2L1,BCL2L1,HGNC:992,True,PTHR11256:SF12,TIGR00865,BCL2L1,BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992],SF12
11553,ENSG00000171552,protein_coding,BCL2L1,BCL2L1,HGNC:992,True,PTHR11256,TIGR00865,BCL2L1,BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992],PTHR11256
11585,ENSG00000166128,protein_coding,RAB8B,RAB8B,HGNC:30273,True,PTHR47980,TIGR00231,RAB8B,"RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]",PTHR47980
11586,ENSG00000166128,protein_coding,RAB8B,RAB8B,HGNC:30273,True,PTHR47980:SF6,TIGR00231,RAB8B,"RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]",SF6
11690,ENSG00000100209,protein_coding,HSCB,HSCB,HGNC:28913,True,PTHR14021,TIGR00714,HSCB,HscB mitochondrial iron-sulfur cluster cochaperone [Source:HGNC Symbol;Acc:HGNC:28913],PTHR14021
11691,ENSG00000100209,protein_coding,HSCB,HSCB,HGNC:28913,True,PTHR14021:SF15,TIGR00714,HSCB,HscB mitochondrial iron-sulfur cluster cochaperone [Source:HGNC Symbol;Acc:HGNC:28913],SF15
11733,ENSG00000182512,protein_coding,GLRX5,GLRX5,HGNC:20134,True,PTHR10293,TIGR00365,GLRX5,glutaredoxin 5 [Source:HGNC Symbol;Acc:HGNC:20134],PTHR10293
11734,ENSG00000182512,protein_coding,GLRX5,GLRX5,HGNC:20134,True,PTHR10293:SF16,TIGR00365,GLRX5,glutaredoxin 5 [Source:HGNC Symbol;Acc:HGNC:20134],SF16
11766,ENSG00000101473,protein_coding,ACOT8,ACOT8,HGNC:15919,True,PTHR11066:SF34,TIGR00189,ACOT8,acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919],SF34
11767,ENSG00000101473,protein_coding,ACOT8,ACOT8,HGNC:15919,True,PTHR11066,TIGR00189,ACOT8,acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919],PTHR11066
11787,ENSG00000120915,protein_coding,EPHX2,EPHX2,HGNC:3402,True,PTHR43329,TIGR02247,EPHX2,epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402],PTHR43329
11788,ENSG00000120915,protein_coding,EPHX2,EPHX2,HGNC:3402,True,PTHR43329:SF4,TIGR02247,EPHX2,epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402],SF4
11789,ENSG00000120915,protein_coding,EPHX2,EPHX2,HGNC:3402,True,PTHR43329,TIGR01509,EPHX2,epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402],PTHR43329
11790,ENSG00000120915,protein_coding,EPHX2,EPHX2,HGNC:3402,True,PTHR43329:SF4,TIGR01509,EPHX2,epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402],SF4
